Req ID,Req Name,Pre-requisite,Cost,Value,PRE_REQ_COUNT,Weightage,Difference
103,Home Page,102,7,8,35,54.125,0.5203488372093048
143,Proceed for Payment,142,1,7,21,40.85714285714286,12.747508305647834
102,Choose Region Modal,101,3,2,22,40.5,13.104651162790695
114,Category List,112,5,7,26,40.285714285714285,13.31893687707641
164,Check Event,114,3,6,10,29.5,24.104651162790695
127,Select Movie,114,6,9,9,28.333333333333336,25.27131782945736
147,Payment Timer,143,3,8,7,26.625,26.979651162790695
146,Payment Method,143,5,9,10,24.444444444444443,29.160206718346252
179,Check Sport Event,114,5,7,5,24.285714285714285,29.31893687707641
188,Gift Cards,103,5,6,5,24.166666666666664,29.43798449612403
194,Corporate ,103,7,8,5,24.125,29.479651162790695
138,Number of Seats,137,5,8,4,23.375,30.229651162790695
139,Select Seats,138,5,8,4,23.375,30.229651162790695
133,Book Ticket,127,4,9,2,21.555555555555557,32.04909560723514
136,Select Show Time,133,4,8,2,21.5,32.104651162790695
172,Book Event,164,4,6,2,21.333333333333336,32.27131782945736
101,URL,0,8,9,2,21.11111111111111,32.49354005167959
183,Register/Book Sport,179,4,6,1,20.333333333333336,33.27131782945736
192,Offers,188,6,9,1,20.333333333333336,33.27131782945736
105,Search,103,6,7,1,20.142857142857142,33.46179401993355
142,Select Ticket Type,139,2,8,5,19.75,33.854651162790695
190,E-Card category,189,3,7,0,19.57142857142857,34.033222591362126
157,Payment Initiation,146,3,6,0,19.5,34.104651162790695
152,UPI,146,4,8,0,19.5,34.104651162790695
112,Sign Up,107,6,4,6,19.5,34.104651162790695
125,BookMyShow App,103,5,9,0,19.444444444444443,34.16020671834625
187,Change Language,103,4,7,0,19.42857142857143,34.176079734219265
149,Credit/Debit Card,146,5,8,0,19.375,34.229651162790695
162,Cancel Ticket,147,5,7,0,19.285714285714285,34.31893687707641
158,Payment Confirmation,147,5,7,0,19.285714285714285,34.31893687707641
150,Netbanking,146,5,7,0,19.285714285714285,34.31893687707641
159,QR Code,147,6,8,0,19.25,34.354651162790695
199,Partner with BookMyShow,194,4,5,0,19.2,34.4046511627907
148,Quikpay,146,6,7,0,19.142857142857142,34.46179401993355
106,Search Results,105,7,8,0,19.125,34.479651162790695
128,Movie Details,127,7,8,0,19.125,34.479651162790695
185,Sport Ticket Confirmation,147,5,5,0,19.0,34.604651162790695
184,Sport Ticket details,183,5,5,0,19.0,34.604651162790695
168,Event Base Price,164,3,3,0,19.0,34.604651162790695
200,Logout,103,5,4,0,18.75,34.854651162790695
178, Browse Sports,114,4,3,0,18.666666666666664,34.93798449612403
113,Category,103,4,3,0,18.666666666666664,34.93798449612403
163,Browse events,114,4,3,0,18.666666666666664,34.93798449612403
166,Event Date,164,4,3,0,18.666666666666664,34.93798449612403
196,Brand Promotion,194,6,4,0,18.5,35.104651162790695
167,Event Location,164,6,4,0,18.5,35.104651162790695
165,Event Description,164,5,3,0,18.333333333333336,35.27131782945736
137,Terms and Conditions,136,2,4,2,16.5,37.104651162790695
174,Event Ticket Category,172,5,7,2,16.285714285714285,37.31893687707641
189,E- Gift Cards,188,4,5,1,15.2,38.4046511627907
175,Event Ticket Quantity,174,4,4,1,15.0,38.604651162790695
107,Login Button,103,6,3,6,15.0,38.604651162790695
156,Earn Loyalty Points,146,2,7,0,14.714285714285714,38.89036544850498
126,Help,103,2,6,0,14.666666666666666,38.93798449612403
130,View Movie Reviews,127,4,8,0,14.5,39.104651162790695
198,Corporate Gifting,194,4,8,0,14.5,39.104651162790695
